emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
su,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093
su,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678
su,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563
su,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334
su,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
su,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892
su,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
su,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
n,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978
a,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978
a,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093
a,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307
a,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978
a,0.157025245536,0.157025245536,0.157025245536,0.157025245536,0.157025245536,0.157025245536
a,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978,0.197388971978
a,0.358843877749,0.358843877749,0.358843877749,0.358843877749,0.358843877749,0.358843877749
a,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307
a,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678
a,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678
