emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
n,98.7927122818,84.3089556334,170.011764299,93,68,214
n,89.7385090137,83.934498271,160.003124969,93,74,215
n,85.8661749468,83.3846508657,161.00310556,93,73,213
n,98.412397593,91.3016976841,155.003225773,93,72,211
n,99.9849988748,84.3089556334,168.002976164,94,78,212
n,87.3212459829,82.8613299435,164.0,96,79,211
n,100.498756211,86.0348766489,171.011695506,90,82,212
n,98.9797959182,85.4400374532,166.0,92,81,212
n,98.8837701547,85.7962703152,163.003067456,90,81,214
n,99.1261822124,83.934498271,162.027775397,89,83,206
n,100.169855745,91.7877987534,170.026468528,89,80,213
n,86.3481325797,82.5408989532,169.026625122,92,78,211
n,100.184829191,89.8943824719,168.002976164,86,82,212
n,101.597244057,92.5904962726,167.011975619,86,95,218
h,103.247275993,85.094065598,164.012194669,83,95,218
h,101.242283657,93.6482781475,169.011833905,78,100,221
h,102.0,104.89041901,159.0,74,102,227
h,106.887791632,97.9438614718,156.003205095,79,105,239
h,94.8946784599,87.8179936004,160.003124969,66,108,258
h,93.2952303175,86.4522989862,165.012120767,69,105,255
h,92.9623579735,79.7119815335,166.012047756,70,105,259
h,92.1791733528,85.492689746,160.028122529,65,105,258
h,81.5965685553,81.9390017025,159.028299368,67,103,255
h,81.9084855189,82.5408989532,167.107749671,68,106,259
h,96.8968523741,75.2396172239,170.0,66,108,260
h,89.9444272871,80.4114419719,155.012902689,64,104,262
h,94.3663075467,83.1685036537,162.012345209,64,100,259
h,92.7846970141,82.0792300159,165.012120767,71,101,250
h,93.9414711403,83.934498271,162.027775397,83,91,237
h,98.8837701547,85.094065598,158.028478446,75,92,227
h,98.270036125,83.934498271,169.026625122,90,87,220
n,97.6165969495,80.9938269253,168.01190434,87,83,217
n,88.2326470191,83.7735041645,164.012194669,88,86,218
n,100.647901121,85.7962703152,168.01190434,87,80,215
n,97.2471079261,82.0792300159,164.012194669,90,77,215
n,98.9797959182,81.1541742611,164.027436729,93,71,217
n,85.1586754242,83.2165848855,170.026468528,93,71,216
n,88.955044826,85.4400374532,164.012194669,92,72,215
n,98.488578018,87.3155198118,163.027605024,93,70,214
n,97.0618359604,85.2349693494,163.049072368,96,68,212
n,98.270036125,83.2165848855,168.002976164,96,69,213
n,59.3043000127,59.3043000127,154.051939293,88,52,212
h,60.0,60.0083327547,157.012738337,44,100,305
n,76.3216876124,58.0775343829,151.082758778,79,46,216
a,51.2249938995,42.3792402008,154.20765221,65,51,217
h,57.3149195236,58.4208866759,152.013157325,62,91,272
n,70.4556598152,58.137767415,152.05262247,81,48,211
n,69.4622199472,58.0344725142,152.05262247,94,46,211
n,59.1354377679,58.0344725142,157.028659805,87,53,209
n,58.137767415,58.0,153.05227865,84,52,214
